code,description,ethnic_category
92561000000109,Northern Irish - ethnic category 2001 census (finding),C
92571000000102,Cornish - ethnic category 2001 census (finding),A
92581000000100,Black and Asian - ethnic category 2001 census (finding),G
92591000000103,Black and Chinese - ethnic category 2001 census (finding),G
92601000000109,Chinese and White - ethnic category 2001 census (finding),S
92611000000106,Asian and Chinese - ethnic category 2001 census (finding),S
92621000000100,Other Mixed or Mixed unspecified - ethnic category 2001 census (finding),G
92631000000103,Mixed Asian - ethnic category 2001 census (finding),G
92641000000107,Punjabi - ethnic category 2001 census (finding),L
92651000000105,Kashmiri - ethnic category 2001 census (finding),L
92661000000108,East African Asian - ethnic category 2001 census (finding),L
92671000000101,Tamil - ethnic category 2001 census (finding),L
92681000000104,British Asian - ethnic category 2001 census (finding),L
92691000000102,Caribbean Asian - ethnic category 2001 census (finding),L
92701000000102,Other Asian or Asian unspecified - ethnic category 2001 census (finding),L
92711000000100,Somali - ethnic category 2001 census (finding),N
92721000000106,Mixed Black - ethnic category 2001 census (finding),G
92731000000108,Nigerian - ethnic category 2001 census (finding),N
92741000000104,Other Black or Black unspecified - ethnic category 2001 census (finding),P
92751000000101,Vietnamese - ethnic category 2001 census (finding),L
92761000000103,Japanese - ethnic category 2001 census (finding),L
92771000000105,Filipino - ethnic category 2001 census (finding),L
92781000000107,Malaysian - ethnic category 2001 census (finding),L
92791000000109,Cypriot (part not stated) - ethnic category 2001 census (finding),A
93921000000101,Ulster Scots - ethnic category 2001 census (finding),C
93931000000104,Greek - ethnic category 2001 census (finding),C
93941000000108,Greek Cypriot - ethnic category 2001 census (finding),C
93951000000106,Turkish Cypriot - ethnic category 2001 census (finding),S
93961000000109,Italian - ethnic category 2001 census (finding),C
93981000000100,Kosovan - ethnic category 2001 census (finding),C
93991000000103,Bosnian - ethnic category 2001 census (finding),C
94001000000108,Croatian - ethnic category 2001 census (finding),C
94011000000105,Other republics which made up the former Yugoslavia - ethnic category 2001 census (finding),C
94021000000104,Mixed Irish and other White - ethnic category 2001 census (finding),C
94031000000102,Other mixed White - ethnic category 2001 census (finding),C
94041000000106,Other White European or European unspecified or Mixed European - ethnic category 2001 census (finding),C
94051000000109,Other White or White unspecified - ethnic category 2001 census (finding),C
94061000000107,North African - ethnic category 2001 census (finding),N
94071000000100,"Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census (finding)",S
94081000000103,Israeli - ethnic category 2001 census (finding),S
94091000000101,Kurdish - ethnic category 2001 census (finding),S
94101000000109,Moroccan - ethnic category 2001 census (finding),S
94111000000106,Latin American - ethnic category 2001 census (finding),S
94121000000100,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census (finding),L
94131000000103,Buddhist - ethnic category 2001 census (finding),S
94141000000107,Sikh - ethnic category 2001 census (finding),L
94151000000105,Any other group - ethnic category 2001 census (finding),S
1024701000000100,Ethnicity not stated (finding),Z
107691000000105,Caribbean - ethnic category 2001 census (finding),M
110401000000103,Turkish - ethnic category 2001 census (finding),S
110751000000108,Indian or British Indian - ethnic category 2001 census (finding),H
110761000000106,English - ethnic category 2001 census (finding),A
110771000000104,Black and White - ethnic category 2001 census (finding),G
110781000000102,Sinhalese - ethnic category 2001 census (finding),L
110791000000100,Black British - ethnic category 2001 census (finding),P
110831000000107,Hindu - ethnic category 2001 census (finding),L
494131000000105,White British - ethnic category 2001 census (finding),A
494141000000101,White British - ethnic category 2001 census,A
494151000000103,White British - ethnic category 2001 census,A
494161000000100,White Irish - ethnic category 2001 census (finding),B
494171000000107,White Irish - ethnic category 2001 census,B
494181000000109,White Irish - ethnic category 2001 census,B
86461000000107,Sri Lankan - ethnic category 2001 census (finding),L
88911000000101,Irish Traveller - ethnic category 2001 census (finding),T
88921000000107,Traveller - ethnic category 2001 census (finding),T
88931000000109,Gypsy/Romany - ethnic category 2001 census (finding),T
88941000000100,Polish - ethnic category 2001 census (finding),C
88951000000102,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census (finding),C
88961000000104,Commonwealth of (Russian) Independent States - ethnic category 2001 census (finding),C
88971000000106,Albanian - ethnic category 2001 census (finding),C
88981000000108,Serbian - ethnic category 2001 census (finding),C
88991000000105,Jewish - ethnic category 2001 census (finding),S
89001000000105,Arab - ethnic category 2001 census (finding),W
89011000000107,Iranian - ethnic category 2001 census (finding),S
89021000000101,South and Central American - ethnic category 2001 census (finding),S
89031000000104,Muslim - ethnic category 2001 census (finding),S
92391000000108,British or mixed British - ethnic category 2001 census (finding),A
92401000000106,Irish - ethnic category 2001 census (finding),B
92411000000108,Other White background - ethnic category 2001 census (finding),C
92421000000102,White and Black Caribbean - ethnic category 2001 census (finding),D
92431000000100,White and Black African - ethnic category 2001 census (finding),E
92441000000109,White and Asian - ethnic category 2001 census (finding),F
92451000000107,Other Mixed background - ethnic category 2001 census (finding),G
92461000000105,Pakistani or British Pakistani - ethnic category 2001 census (finding),J
92471000000103,Bangladeshi or British Bangladeshi - ethnic category 2001 census (finding),K
92481000000101,Other Asian background - ethnic category 2001 census (finding),L
92491000000104,African - ethnic category 2001 census (finding),N
92501000000105,Other Black background - ethnic category 2001 census (finding),P
92511000000107,Chinese - ethnic category 2001 census (finding),R
92521000000101,Other - ethnic category 2001 census (finding),S
92531000000104,Ethnic category not stated - 2001 census (finding),Z
92541000000108,Scottish - ethnic category 2001 census (finding),A
92551000000106,Welsh - ethnic category 2001 census (finding),A
976631000000101,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census (finding),A
976641000000105,White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census,A
976651000000108,White: Irish - England and Wales ethnic category 2011 census (finding),B
976661000000106,White: Irish - England and Wales ethnic category 2011 census,B
976671000000104,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census (finding),T
976681000000102,White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census,T
976691000000100,White: any other White background - England and Wales ethnic category 2011 census (finding),C
976701000000100,White: any other white background - England and Wales ethnic category 2011 census,C
976711000000103,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census (finding),D
976721000000109,Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census,D
976731000000106,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census (finding),E
976741000000102,Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census,E
976751000000104,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census (finding),F
976761000000101,Mixed multiple ethnic groups: white and Asian - England and Wales ethnic category 2011 census,F
976771000000108,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census (finding),G
976781000000105,Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census,G
976791000000107,Asian or Asian British: Indian - England and Wales ethnic category 2011 census (finding),H
976801000000106,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,H
976811000000108,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census (finding),J
976821000000102,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,J
976831000000100,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census (finding),K
976841000000109,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,K
976851000000107,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census (finding),R
976861000000105,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,R
976871000000103,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census (finding),L
976881000000101,Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census,L
976891000000104,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census (finding),N
976901000000103,Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census,N
976911000000101,Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census (finding),M
976921000000107,Black or African or Caribbean or Black British : Caribbean - England and Wales ethnic category 2011 census (finding),M
976931000000109,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census (finding),P
976941000000100,Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census,P
976951000000102,Other ethnic group: Arab - England and Wales ethnic category 2011 census (finding),W
976961000000104,Other ethnic group: Arab - England and Wales ethnic category 2011 census,W
976971000000106,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census (finding),S
976981000000108,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,S
977351000000100,White - Northern Ireland ethnic category 2011 census (finding),A
977361000000102,White - Northern Ireland ethnic category 2011 census,A
977371000000109,Irish Traveller - Northern Ireland ethnic category 2011 census (finding),T
977381000000106,Irish Traveller - Northern Ireland ethnic category 2011 census,T
977391000000108,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census (finding),D
977401000000106,Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census,D
977411000000108,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census (finding),E
977421000000102,Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census,E
977431000000100,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census (finding),F
977441000000109,Mixed multiple ethnic groups: white and Asian - Northern Ireland ethnic category 2011 census,F
977551000000106,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census (finding),G
977561000000109,Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census,G
